,Common Values,Drug 1 total substructures,Drug 2 total substructures
163,2890,0.0,20.0
164,2890,0.0,164.0
165,2857,0.0,63.0
166,2817,0.0,3.0
167,2890,0.0,0.0
168,2837,0.0,0.0
169,2792,0.0,33.0
170,2804,0.0,73.0
171,2890,0.0,0.0
172,2728,0.0,53.0
173,2873,0.0,98.0
174,2855,0.0,86.0
175,2890,0.0,0.0
176,2814,0.0,162.0
177,2858,0.0,17.0
178,2890,0.0,35.0
179,2890,0.0,0.0
180,2883,0.0,76.0
181,2890,0.0,32.0
182,2806,0.0,0.0
183,2759,0.0,0.0
184,2883,0.0,7.0
185,2710,0.0,0.0
186,2584,0.0,84.0
187,2887,0.0,131.0
188,2890,0.0,7.0
189,2818,0.0,180.0
190,2885,0.0,306.0
191,2761,0.0,3.0
192,2890,0.0,0.0
193,2810,0.0,72.0
194,2890,0.0,5.0
195,2867,0.0,129.0
196,2889,0.0,0.0
197,2854,0.0,80.0
198,2890,0.0,0.0
199,2746,0.0,23.0
200,2845,0.0,1.0
201,2762,0.0,36.0
202,2890,0.0,0.0
203,2841,0.0,144.0
204,2858,0.0,45.0
205,2882,0.0,128.0
206,2890,0.0,0.0
207,2882,0.0,49.0
208,2865,0.0,32.0
209,2890,0.0,8.0
210,2843,0.0,0.0
211,2879,0.0,8.0
212,2890,0.0,25.0
213,2886,0.0,0.0
214,2742,0.0,47.0
215,2869,0.0,11.0
216,2890,0.0,0.0
217,2887,0.0,4.0
218,2860,0.0,148.0
219,2641,0.0,21.0
220,2870,0.0,0.0
221,2890,0.0,3.0
222,2846,0.0,30.0
223,2890,0.0,249.0
224,2839,0.0,20.0
225,2828,0.0,0.0
226,2859,0.0,44.0
227,2816,0.0,0.0
228,2767,0.0,51.0
229,2814,0.0,62.0
230,2787,0.0,31.0
231,2615,0.0,74.0
232,2801,0.0,123.0
233,2874,0.0,76.0
234,2888,0.0,103.0
235,2878,0.0,275.0
236,2888,0.0,89.0
237,2889,0.0,16.0
238,2873,0.0,2.0
239,2862,0.0,12.0
240,2846,0.0,2.0
241,2777,0.0,1.0
242,2890,0.0,17.0
243,2890,0.0,28.0
244,2890,0.0,44.0
245,2849,0.0,113.0
246,2793,0.0,0.0
247,2886,0.0,0.0
248,2890,0.0,0.0
249,2890,0.0,41.0
250,2879,0.0,97.0
251,2890,0.0,4.0
252,2890,0.0,0.0
253,2808,0.0,0.0
254,2884,0.0,11.0
255,2881,0.0,0.0
256,2838,0.0,0.0
257,2757,0.0,82.0
258,2866,0.0,6.0
259,2836,0.0,9.0
260,2890,0.0,52.0
261,2804,0.0,133.0
262,2852,0.0,24.0
263,2828,0.0,54.0
264,2890,0.0,0.0
265,2890,0.0,86.0
266,2890,,
267,2630,,
268,2870,0.0,38.0
269,2873,0.0,62.0
270,2881,0.0,0.0
271,2817,0.0,0.0
272,2808,0.0,0.0
273,2843,0.0,260.0
274,2852,0.0,20.0
275,2851,0.0,17.0
276,2841,0.0,9.0
277,2820,0.0,73.0
278,2808,0.0,82.0
279,2890,0.0,47.0
280,2855,0.0,38.0
281,2883,0.0,39.0
282,2890,0.0,49.0
283,2816,0.0,70.0
284,2890,,
285,2884,0.0,82.0
286,2859,0.0,0.0
287,2842,0.0,35.0
288,2819,0.0,7.0
289,2854,0.0,0.0
290,2890,0.0,74.0
291,2865,0.0,0.0
292,2889,0.0,6.0
293,2711,,
294,2855,0.0,31.0
295,2810,0.0,48.0
296,2885,0.0,71.0
297,2661,0.0,36.0
298,2674,0.0,0.0
299,2876,0.0,25.0
300,2829,0.0,1.0
301,2890,0.0,179.0
302,2721,0.0,35.0
303,2781,0.0,80.0
304,2845,0.0,5.0
305,2847,0.0,229.0
306,2851,0.0,216.0
307,2863,0.0,14.0
308,2889,0.0,61.0
309,2855,0.0,0.0
310,2857,0.0,169.0
311,2789,0.0,109.0
312,2866,0.0,45.0
313,2817,0.0,43.0
314,2890,0.0,39.0
315,2890,0.0,27.0
316,2861,0.0,1.0
317,2849,0.0,35.0
318,2814,0.0,33.0
319,2847,0.0,101.0
320,2890,0.0,24.0
321,2890,0.0,73.0
322,2890,0.0,0.0
323,2808,0.0,0.0
324,2890,0.0,29.0
325,2879,0.0,41.0
326,2843,0.0,76.0
327,2850,0.0,43.0
328,2778,0.0,0.0
329,2837,0.0,0.0
330,2719,,
331,2821,0.0,0.0
332,2845,0.0,82.0
333,2831,0.0,0.0
334,2890,,
335,2882,0.0,11.0
336,2815,0.0,47.0
337,2879,,
338,2805,0.0,40.0
339,2885,0.0,112.0
340,2666,0.0,53.0
341,2874,0.0,171.0
342,2890,0.0,69.0
343,2887,0.0,45.0
344,2829,0.0,59.0
345,2851,0.0,0.0
346,2890,0.0,8.0
347,2817,0.0,75.0
348,2847,,
349,2712,0.0,11.0
350,2868,0.0,85.0
351,2856,0.0,5.0
352,2889,0.0,224.0
353,2844,0.0,16.0
354,2852,0.0,0.0
355,2870,0.0,3.0
356,2888,0.0,61.0
357,2830,0.0,39.0
358,2860,0.0,0.0
359,2889,0.0,73.0
360,2835,0.0,43.0
361,2890,0.0,178.0
362,2866,0.0,22.0
363,2869,0.0,34.0
364,2817,0.0,1.0
365,2890,0.0,46.0
366,2845,0.0,38.0
367,2877,0.0,20.0
368,2852,0.0,2.0
369,2676,0.0,60.0
370,2751,0.0,30.0
371,2890,0.0,1.0
372,2812,0.0,55.0
373,2845,0.0,0.0
374,2769,0.0,24.0
375,2823,0.0,21.0
376,2866,0.0,73.0
377,2866,0.0,0.0
378,2875,0.0,45.0
379,2660,0.0,13.0
380,2849,0.0,38.0
381,2845,0.0,214.0
382,2863,,
383,2653,0.0,139.0
384,2888,0.0,0.0
385,2881,,
386,2890,,
387,2890,0.0,78.0
388,2877,0.0,45.0
389,2832,0.0,121.0
390,2853,0.0,67.0
391,2674,0.0,24.0
392,2845,0.0,24.0
393,2890,0.0,15.0
394,2889,0.0,230.0
395,2889,0.0,41.0
396,2838,0.0,45.0
397,2862,0.0,27.0
398,2845,0.0,237.0
399,2854,0.0,2.0
400,2864,0.0,9.0
401,2859,0.0,0.0
402,2890,0.0,0.0
403,2871,0.0,13.0
404,2856,0.0,58.0
405,2870,0.0,37.0
406,2726,0.0,216.0
407,2827,0.0,45.0
408,2887,0.0,0.0
409,2890,0.0,1.0
410,2890,0.0,1.0
411,2857,0.0,52.0
412,2817,0.0,28.0
413,2890,0.0,45.0
414,2837,0.0,36.0
415,2792,0.0,26.0
416,2804,0.0,31.0
417,2890,0.0,0.0
418,2728,0.0,19.0
419,2873,0.0,34.0
420,2855,0.0,20.0
421,2890,0.0,164.0
422,2814,0.0,63.0
423,2858,0.0,3.0
424,2890,0.0,0.0
425,2890,0.0,0.0
426,2883,0.0,33.0
427,2890,0.0,73.0
428,2806,0.0,0.0
429,2759,0.0,53.0
430,2883,0.0,98.0
431,2710,0.0,86.0
432,2584,0.0,0.0
433,2887,0.0,162.0
434,2890,0.0,17.0
435,2818,0.0,35.0
436,2885,0.0,0.0
437,2761,0.0,76.0
438,2890,0.0,32.0
439,2810,0.0,0.0
440,2890,0.0,0.0
441,2867,0.0,7.0
442,2889,0.0,0.0
443,2854,0.0,84.0
444,2890,0.0,131.0
445,2746,0.0,7.0
446,2845,0.0,180.0
447,2762,0.0,306.0
448,2890,0.0,3.0
449,2841,0.0,0.0
450,2858,0.0,72.0
451,2882,0.0,5.0
452,2890,0.0,129.0
453,2882,0.0,0.0
454,2865,0.0,80.0
455,2890,0.0,0.0
456,2843,0.0,23.0
457,2879,0.0,1.0
458,2890,0.0,36.0
459,2886,0.0,0.0
460,2742,0.0,144.0
461,2869,0.0,45.0
462,2890,0.0,128.0
463,2887,0.0,0.0
464,2860,0.0,49.0
465,2641,0.0,32.0
466,2870,0.0,8.0
467,2890,0.0,0.0
468,2846,0.0,8.0
469,2890,0.0,25.0
470,2839,0.0,0.0
471,2828,0.0,47.0
472,2859,0.0,11.0
473,2816,0.0,0.0
474,2767,0.0,4.0
475,2814,0.0,148.0
476,2787,0.0,21.0
477,2615,0.0,0.0
478,2801,0.0,3.0
479,2874,0.0,30.0
480,2888,0.0,249.0
481,2878,0.0,20.0
482,2888,0.0,0.0
483,2889,0.0,44.0
484,2873,0.0,0.0
485,2862,0.0,51.0
486,2846,0.0,62.0
487,2777,0.0,31.0
488,2890,0.0,74.0
489,2890,0.0,123.0
490,2890,0.0,76.0
491,2849,0.0,103.0
492,2793,0.0,275.0
493,2886,0.0,89.0
494,2890,0.0,16.0
495,2890,0.0,2.0
496,2879,0.0,12.0
497,2890,0.0,2.0
498,2890,0.0,1.0
499,2808,0.0,17.0
500,2875,0.0,28.0
501,2832,0.0,44.0
502,2751,0.0,113.0
503,2860,0.0,0.0
504,2830,0.0,0.0
505,2884,0.0,0.0
506,2798,0.0,41.0
507,2849,0.0,97.0
508,2830,0.0,4.0
509,2846,0.0,0.0
510,2822,0.0,0.0
511,2884,0.0,11.0
512,2884,0.0,0.0
513,2884,0.0,0.0
514,2624,0.0,82.0
515,2864,6.0,9.0
516,2867,6.0,52.0
517,2875,6.0,133.0
518,2811,6.0,24.0
519,2802,6.0,54.0
520,2837,6.0,0.0
521,2846,6.0,86.0
522,2845,6.0,35.0
523,2835,6.0,54.0
524,2814,6.0,38.0
525,2884,6.0,62.0
526,2802,6.0,0.0
527,2884,6.0,0.0
528,2849,6.0,0.0
529,2877,6.0,260.0
530,2884,6.0,20.0
531,2810,6.0,17.0
532,2884,6.0,9.0
533,2878,6.0,73.0
534,2884,6.0,82.0
535,2853,6.0,47.0
536,2836,6.0,38.0
537,2813,6.0,39.0
538,2848,6.0,49.0
539,2884,6.0,70.0
540,2859,6.0,0.0
541,2883,6.0,82.0
542,2711,6.0,0.0
543,2849,6.0,35.0
544,2804,6.0,7.0
545,2879,6.0,0.0
546,2655,6.0,74.0
547,2668,6.0,0.0
548,2870,6.0,6.0
549,2823,6.0,0.0
550,2884,6.0,31.0
551,2715,6.0,48.0
